address,name,size,isThunk,isExternal
140001000,FUN_140001000,380,false,false
140001188,FUN_140001188,3,false,false
14000118c,FUN_14000118c,70,false,false
1400011d4,FUN_1400011d4,130,false,false
140001258,FUN_140001258,164,false,false
1400012fc,FUN_1400012fc,304,false,false
14000142c,FUN_14000142c,7509,false,false
140003184,FUN_140003184,350,false,false
1400032e4,FUN_1400032e4,421,false,false
14000348c,WndProc1,5,true,false
140003494,WndProc2,5,true,false
14000349c,WndProc3,5,true,false
1400034a4,FUN_1400034a4,47,false,false
1400034d4,FUN_1400034d4,47,false,false
1400035a4,FUN_1400035a4,47,false,false
1400035d4,FUN_1400035d4,655,false,false
140003864,FUN_140003864,152,false,false
1400038fc,FUN_1400038fc,127,false,false
14000397c,FUN_14000397c,161,false,false
140003a20,FUN_140003a20,139,false,false
140003aac,FUN_140003aac,277,false,false
140003bc4,FUN_140003bc4,226,false,false
140003ca8,FUN_140003ca8,2931,false,false
14000481c,FUN_14000481c,166,false,false
1400048c4,FUN_1400048c4,322,false,false
140004a08,FUN_140004a08,188,false,false
140004ac4,FUN_140004ac4,878,false,false
140004e34,FUN_140004e34,136,false,false
140004ebc,FUN_140004ebc,123,false,false
140004f38,FUN_140004f38,67,false,false
140004f7c,FUN_140004f7c,87,false,false
140004fd4,FUN_140004fd4,56,false,false
14000500c,FUN_14000500c,147,false,false
1400050a0,FUN_1400050a0,40,false,false
1400050c8,FUN_1400050c8,126,false,false
140005148,FUN_140005148,107,false,false
1400051b4,FUN_1400051b4,152,false,false
14000524c,FUN_14000524c,205,false,false
14000531c,FUN_14000531c,38,false,false
140005344,FUN_140005344,73,false,false
140005390,FUN_140005390,35,false,false
1400053b4,FUN_1400053b4,182,false,false
14000546c,FUN_14000546c,85,false,false
1400054c4,FUN_1400054c4,29,false,false
1400054e4,FUN_1400054e4,55,false,false
14000551c,FUN_14000551c,208,false,false
1400055ec,FUN_1400055ec,159,false,false
14000568c,FUN_14000568c,45,false,false
1400056bc,FUN_1400056bc,121,false,false
140005738,FUN_140005738,221,false,false
140005818,FUN_140005818,115,false,false
14000588c,FUN_14000588c,34,false,false
1400058b0,FUN_1400058b0,68,false,false
1400058f4,FUN_1400058f4,31,false,false
140005914,FUN_140005914,249,false,false
140005a10,FUN_140005a10,331,false,false
140005b5c,FUN_140005b5c,187,false,false
140005c18,FUN_140005c18,49,false,false
140005c4c,FUN_140005c4c,1131,false,false
1400060b8,FUN_1400060b8,282,false,false
1400061d4,FUN_1400061d4,287,false,false
1400062f4,FUN_1400062f4,45,false,false
140006324,FUN_140006324,40,false,false
14000634c,FUN_14000634c,153,false,false
1400063e8,FUN_1400063e8,17,false,false
1400063fc,FUN_1400063fc,290,false,false
140006520,FUN_140006520,52,false,false
140006554,FUN_140006554,268,false,false
140006660,FUN_140006660,86,false,false
1400066b8,FUN_1400066b8,44,false,false
1400066e4,FUN_1400066e4,138,false,false
140006770,FUN_140006770,144,false,false
140006800,MemoryCopy,28,false,false
14000681c,MemoryCompare,2,true,false
140006830,FUN_140006830,31,false,false
140006840,MemorySet,28,false,false
14000685c,FUN_14000685c,97,false,false
1400068c0,FUN_1400068c0,97,false,false
140006924,FUN_140006924,97,false,false
140006988,FUN_140006988,155,false,false
140006a24,dllMain_Name,38,false,false
140006a4c,FUN_140006a4c,83,false,false
140006aa0,FUN_140006aa0,3024,false,false
140007670,FUN_140007670,1286,false,false
140007b78,FUN_140007b78,73,false,false
140007bc4,thunk_FUN_140067b78,5,true,false
140007bcc,FUN_140007bcc,36,false,false
140007bf0,FUN_140007bf0,39,false,false
140007c18,FUN_140007c18,1270,false,false
140008110,FUN_140008110,687,false,false
